year,supplier,recipient,tiv
2005,Ukraine,United States,1.6
2005,Ukraine,Viet Nam,15.6
2005,Ukraine,Yemen,21.6
2005,Ukraine,Zimbabwe,3.6
2005,United Arab Emirates,Iraq,2.04
2005,United Arab Emirates,Jordan,13.0
2005,United Kingdom,Algeria,9.3
2005,United Kingdom,Australia,7.5
2005,United Kingdom,Canada,16.0
2005,United Kingdom,China,70.0
2005,United Kingdom,Czechia,1.6
2005,United Kingdom,Denmark,37.5
2005,United Kingdom,Germany,20.0
2005,United Kingdom,Greece,53.0
2005,United Kingdom,India,117.0
2005,United Kingdom,Iraq,4.75
2005,United Kingdom,Italy,15.600000000000001
2005,United Kingdom,Japan,20.0
2005,United Kingdom,Malaysia,32.0
2005,United Kingdom,Netherlands,12.0
2005,United Kingdom,Oman,38.0
2005,United Kingdom,Romania,217.68
2005,United Kingdom,South Africa,8.64
2005,United Kingdom,Spain,45.0
2005,United Kingdom,Switzerland,70.0
2005,United Kingdom,Thailand,5.0
2005,United Kingdom,Turkiye,14.0
2005,United Kingdom,United States,172.0
2005,United Kingdom,Venezuela,3.6
2005,United States,Afghanistan,18.8
2005,United States,Argentina,3.1
2005,United States,Australia,100.3
2005,United States,Bahamas,2.85
2005,United States,Bahrain,62.5
2005,United States,Belgium,3.0
2005,United States,Brazil,18.0
2005,United States,Canada,90.0
2005,United States,Colombia,4.25
2005,United States,Czechia,40.4
2005,United States,Denmark,22.21
2005,United States,Ecuador,2.0
2005,United States,Egypt,622.62
2005,United States,France,2.0
2005,United States,Germany,50.8
2005,United States,Greece,101.93
2005,United States,Indonesia,0.5
2005,United States,Iraq,47.6
2005,United States,Israel,1082.22
2005,United States,Italy,62.25
2005,United States,Japan,348.21000000000004
2005,United States,Kuwait,5.0
2005,United States,Lebanon,1.0
2005,United States,Lithuania,2.6
2005,United States,Malaysia,1.0
2005,United States,Mexico,7.5
2005,United States,Netherlands,50.980000000000004
2005,United States,Norway,3.0
2005,United States,Oman,140.0
2005,United States,Pakistan,166.14
2005,United States,Peru,24.8
2005,United States,Philippines,12.49
2005,United States,Poland,10.940000000000001
2005,United States,Portugal,33.1
2005,United States,Romania,13.0
2005,United States,Saudi Arabia,150.3
2005,United States,Singapore,530.25
2005,United States,South Korea,619.15
2005,United States,Sri Lanka,6.0
2005,United States,Sweden,58.2
2005,United States,Taiwan,644.52
2005,United States,Thailand,17.0
2005,United States,Turkiye,254.20000000000002
2005,United States,United Arab Emirates,1269.1699999999998
2005,United States,United Kingdom,18.0
2005,Uzbekistan,Georgia,3.6
2005,unknown supplier(s),African Union**,43.5
2005,unknown supplier(s),DR Congo,6.8
2005,unknown supplier(s),Guinea,0.72
2005,unknown supplier(s),LTTE (Sri Lanka)*,0.14
2005,unknown supplier(s),Senegal,0.88
2005,unknown supplier(s),South Korea,0.8
2010,Australia,India,16.6
2010,Australia,New Zealand,66.0
2010,Australia,Singapore,30.0
2010,Australia,Trinidad and Tobago,24.0
2010,Austria,Bolivia,1.35
2010,Austria,Czechia,18.8
2010,Austria,Portugal,20.5
2010,Austria,Saudi Arabia,14.8
2010,Austria,Spain,12.0
2010,Austria,Thailand,3.1
2010,Austria,Uganda,1.12
2010,Austria,United Arab Emirates,2.0
2010,Austria,United States,1.0
2010,Austria,Venezuela,0.5
2010,Belarus,Azerbaijan,8.8
2010,Belarus,Nigeria,7.2
2010,Belarus,Sudan,4.6
2010,Belarus,Uganda,3.4
2010,Belarus,Yemen,137.41
2010,Belgium,Chad,7.39
2010,Belgium,Estonia,0.9
2010,Belgium,Jordan,0.6
2010,Belgium,Lebanon,2.16
2010,Bosnia-Herzegovina,Azerbaijan,0.28
2010,Brazil,Chile,36.0
2010,Brazil,Dominican Republic,27.0
2010,Brazil,Ecuador,63.0
2010,Brazil,Malaysia,18.0
2010,Brazil,Paraguay,2.7
2010,Bulgaria,Cambodia,4.24
2010,Canada,Brazil,5.0
2010,Canada,Chile,5.5
2010,Canada,Colombia,2.5
2010,Canada,Dominican Republic,3.0
2010,Canada,Ecuador,7.0
2010,Canada,Iraq,5.5
2010,Canada,Israel,6.0
2010,Canada,Mexico,3.0
2010,Canada,Nigeria,1.0
2010,Canada,Portugal,6.0
2010,Canada,Romania,5.0
2010,Canada,Turkiye,1.75
2010,Canada,United Arab Emirates,2.0
2010,Canada,United States,142.9
2010,China,Algeria,18.0
2010,China,Argentina,1.4
2010,China,Bangladesh,12.5
2010,China,Benin,0.26
2010,China,Chad,15.6
2010,China,Ecuador,7.8
2010,China,Egypt,35.0
2010,China,Ghana,2.2
2010,China,Guinea,0.7
2010,China,Indonesia,1.5
2010,China,Iran,51.75
2010,China,Jordan,2.4
2010,China,Kenya,13.0
2010,China,Mauritania,7.2
2010,China,Morocco,227.20000000000002
2010,China,Myanmar,5.0
2010,China,Nigeria,189.7
2010,China,Pakistan,747.95
2010,China,Peru,1.2
2010,China,Sri Lanka,5.0
2010,China,Sudan,30.25
2010,China,Syria,15.0
2010,China,Timor-Leste,18.0
2010,China,Turkiye,33.75
2010,China,Venezuela,89.0
2010,Czechia,India,0.09
2010,Czechia,Slovakia,2.6
2010,Czechia,Yemen,1.92
2010,Denmark,Lithuania,8.0
2010,Finland,Croatia,10.0
2010,Finland,Poland,54.4
2010,Finland,Slovenia,5.6
2010,Finland,United Arab Emirates,3.15
2010,France,Algeria,52.0
2010,France,Australia,41.5
2010,France,Bahrain,15.3
2010,France,Brazil,44.0
2010,France,Bulgaria,7.25
2010,France,Chile,15.1
2010,France,China,149.25
2010,France,Colombia,12.0
2010,France,Cyprus,0.54
2010,France,Estonia,2.7
2010,France,Finland,7.0
2010,France,Greece,10.0
2010,France,India,24.0
2010,France,Indonesia,27.0
2010,France,Iraq,2.04
2010,France,Japan,4.5
2010,France,Libya,3.0
2010,France,Malaysia,14.4
2010,France,Mauritania,10.200000000000001
2010,France,Mexico,15.0
2010,France,Morocco,36.0
2010,France,Netherlands,4.5
2010,France,Norway,20.0
2010,France,Oman,14.0
2010,France,Pakistan,19.52
2010,France,Poland,12.5
2010,France,Qatar,0.36
2010,France,Saudi Arabia,89.8
2010,France,South Africa,0.85
2010,France,South Korea,2.0
2010,France,Spain,25.95
2010,France,Togo,0.72
2010,France,United Arab Emirates,58.4
2010,France,United Kingdom,80.0
2010,France,United States,67.0
2010,Germany,Australia,35.0
2010,Germany,Belgium,14.0
2010,Germany,Brazil,83.2
2010,Germany,Brunei,32.8
2010,Germany,Chile,161.83999999999997
2010,Germany,China,2.5
2010,Germany,Egypt,10.0
2010,Germany,France,0.45
2010,Germany,Greece,397.4
2010,Germany,India,48.6
2010,Germany,Israel,22.5
2010,Germany,Italy,63.0
2010,Germany,Japan,2.25
2010,Germany,Luxembourg,8.4
2010,Germany,Malaysia,85.5
2010,Germany,Netherlands,13.5
2010,Germany,New Zealand,12.0
2010,Germany,Norway,3.98
2010,Germany,Pakistan,11.0
2010,Germany,Portugal,550.0
2010,Germany,Saudi Arabia,11.2
2010,Germany,Singapore,161.21
2010,Germany,South Korea,39.86
2010,Germany,Spain,197.9
2010,Germany,Switzerland,12.5
2010,Germany,Taiwan,36.0
2010,Germany,Thailand,0.95
2010,Germany,Turkiye,136.47
2010,Germany,United Arab Emirates,32.1
2010,Germany,United Kingdom,1.2
2010,Germany,United States,170.55
2010,Germany,Venezuela,6.0
2010,India,Maldives,4.5
2010,Iran,Sudan,1.5
2010,Iran,Syria,52.0
2010,Ireland,Australia,40.6
2010,Ireland,Chile,1.3
2010,Israel,Australia,20.0
2010,Israel,Azerbaijan,10.1
2010,Israel,Belgium,7.2
2010,Israel,Brazil,20.599999999999998
2010,Israel,Bulgaria,0.42
2010,Israel,Chile,21.8
2010,Israel,Colombia,165.39000000000001
2010,Israel,Czechia,28.4
2010,Israel,Denmark,5.0
2010,Israel,Dominican Republic,21.0
2010,Israel,France,3.0
2010,Israel,Germany,12.0
2010,Israel,India,105.5
2010,Israel,Italy,4.5
2010,Israel,Kazakhstan,8.0
2010,Israel,Myanmar,2.97
2010,Israel,Netherlands,15.0
2010,Israel,Poland,10.5
2010,Israel,Portugal,12.5
2010,Israel,Romania,6.75
2010,Israel,Russia,0.7
2010,Israel,Singapore,70.0
2010,Israel,South Africa,2.0
2010,Israel,Spain,18.0
2010,Israel,Turkiye,86.28
2010,Israel,United Kingdom,7.5
2010,Israel,United States,25.0
2010,Israel,unknown recipient(s),5.0
2010,Italy,Afghanistan,59.4
2010,Italy,Algeria,13.75
2010,Italy,Austria,5.25
2010,Italy,Brazil,9.25
2010,Italy,Chile,9.6
2010,Italy,Czechia,1.5
2010,Italy,Ecuador,2.5
2010,Italy,Finland,7.0
2010,Italy,France,16.0
2010,Italy,Germany,25.0
2010,Italy,Greece,2.75
2010,Italy,India,11.75
2010,Italy,Kuwait,9.0
2010,Italy,Libya,19.28
2010,Italy,Malaysia,14.5
2010,Italy,Morocco,32.0
2010,Italy,Netherlands,33.0
2010,Italy,Nigeria,22.5
2010,Italy,Norway,11.7
2010,Italy,Oman,13.5
2010,Italy,Pakistan,68.15
2010,Italy,Philippines,0.96
2010,Italy,Poland,32.0
2010,Italy,Qatar,30.0
2010,Italy,Romania,32.0
2010,Italy,Spain,7.5
2010,Italy,Turkiye,5.0
2010,Italy,United States,80.0
2010,Italy,Venezuela,2.5
2010,Jordan,Kenya,83.16
2010,Jordan,Lebanon,27.72
2010,Jordan,Yemen,5.9
2010,Libya,Pakistan,9.0
2010,Libya,United Arab Emirates,18.0
2010,Montenegro,Armenia,2.24
2010,Montenegro,Serbia,16.04
2010,Netherlands,Belgium,0.72
2010,Netherlands,Chile,68.4
2010,Netherlands,Estonia,1.8
2010,Netherlands,France,30.0
2010,Netherlands,Greece,15.75
2010,Netherlands,India,19.0
2010,Netherlands,Peru,24.0
2010,Netherlands,Portugal,135.81
2010,Netherlands,South Korea,10.0
2010,Netherlands,Turkiye,13.25
2010,Netherlands,United Kingdom,35.0
2010,Netherlands,Venezuela,12.0
2010,North Korea,Myanmar,7.2
2010,Poland,Burkina Faso,0.12
2010,Poland,Malaysia,19.4
2010,Poland,United States,8.25
2010,Romania,Viet Nam,0.8
2010,Russia,Afghanistan,72.5
2010,Russia,Algeria,686.0
2010,Russia,Armenia,45.8
2010,Russia,Azerbaijan,101.4
2010,Russia,Brazil,76.96
2010,Russia,Chad,7.25
2010,Russia,China,653.25
2010,Russia,Cyprus,43.2
2010,Russia,Egypt,369.15999999999997
2010,Russia,Ethiopia,58.0
2010,Russia,India,2288.8
2010,Russia,Indonesia,187.8
2010,Russia,Iran,35.5
2010,Russia,Iraq,72.5
2010,Russia,Jordan,80.0
2010,Russia,Kazakhstan,51.45
2010,Russia,Kuwait,37.5
2010,Russia,Libya,14.9
2010,Russia,Malaysia,0.2
2010,Russia,Mexico,7.25
2010,Russia,Mongolia,63.6
2010,Russia,Myanmar,46.56
2010,Russia,North Korea,0.5
2010,Russia,Pakistan,26.4
2010,Russia,Palestine,5.4
2010,Russia,Poland,21.75
2010,Russia,Slovakia,6.0
2010,Russia,Slovenia,34.0
2010,Russia,Sudan,67.55
2010,Russia,Syria,353.4
2010,Russia,Turkiye,16.0
2010,Russia,Turkmenistan,32.3
2010,Russia,United Arab Emirates,324.0
2010,Russia,Uzbekistan,30.0
2010,Russia,Venezuela,59.5
2010,Russia,Viet Nam,160.35
2010,Russia,Yemen,90.0
2010,Saudi Arabia,Yemen,1.4
2010,Serbia,Cambodia,30.0
2010,Serbia,Iraq,0.72
2010,Singapore,Chad,1.56
2010,Singapore,Thailand,3.0
2010,Singapore,United Arab Emirates,3.6
2010,Singapore,United Kingdom,24.3
2010,South Africa,Azerbaijan,10.2
2010,South Africa,Burundi,2.24
2010,South Africa,Congo,31.63
2010,South Africa,Finland,0.6
2010,South Africa,Gabon,26.880000000000003
2010,South Africa,Iraq,0.3
2010,South Africa,Ireland,4.05
2010,South Africa,Nigeria,2.4
2010,South Africa,Norway,19.0
2010,South Africa,Senegal,3.84
2010,South Africa,Spain,1.8
2010,South Africa,Uganda,3.7600000000000002
2010,South Africa,United Arab Emirates,2.56
2010,South Africa,United States,116.64
2010,South Africa,Yemen,24.05
2010,South Korea,Peru,16.0
2010,South Korea,Turkiye,161.4
2010,Spain,Argentina,3.4
2010,Spain,Botswana,9.0
2010,Spain,Chile,22.0
2010,Spain,Colombia,17.0
2010,Spain,Mexico,59.0
2010,Spain,Portugal,78.5
2010,Spain,United States,34.0
2010,Spain,Uruguay,20.0
2010,Spain,Venezuela,30.5
2010,Sweden,Argentina,3.0
2010,Sweden,Denmark,4.0
2010,Sweden,Estonia,7.5
2010,Sweden,Finland,5.0
2010,Sweden,Italy,4.0
2010,Sweden,Japan,8.0
2010,Sweden,Latvia,1.6
2010,Sweden,Netherlands,70.0
2010,Sweden,Norway,5.0
2010,Sweden,Pakistan,244.0
2010,Sweden,Poland,2.0
2010,Sweden,Saudi Arabia,3.0
2010,Sweden,South Africa,157.8
2010,Sweden,South Korea,12.0
2010,Sweden,Thailand,26.8
2010,Sweden,United Arab Emirates,39.84
2010,Sweden,United Kingdom,6.0
2010,Sweden,United States,12.5
2010,Switzerland,Belgium,17.2
2010,Switzerland,Brazil,1.05
2010,Switzerland,China,65.0
2010,Switzerland,Finland,11.1
2010,Switzerland,Germany,13.39
2010,Switzerland,Malaysia,9.0
2010,Switzerland,Romania,2.45
2010,Switzerland,Saudi Arabia,40.0
2010,Switzerland,Spain,1.4
2010,Switzerland,United States,124.4
2010,Syria,Hezbollah (Lebanon)*,30.0
2010,Turkiye,Azerbaijan,3.9
2010,Turkiye,Malaysia,33.16
2010,Turkiye,Philippines,1.8
2010,Turkiye,Saudi Arabia,33.6
2010,Turkiye,United Arab Emirates,6.6
2010,Ukraine,Algeria,2.66
2010,Ukraine,Armenia,3.6
2010,Ukraine,Azerbaijan,28.41
2010,Ukraine,Chad,10.979999999999999
2010,Ukraine,DR Congo,155.59
2010,Ukraine,Egypt,26.0
2010,Ukraine,Indonesia,4.75
2010,Ukraine,Iraq,13.440000000000001
2010,Ukraine,Morocco,16.2
2010,Ukraine,Namibia,3.4
2010,Ukraine,Pakistan,71.7
2010,Ukraine,Russia,24.0
2010,Ukraine,Sudan,91.9
2010,Ukraine,Thailand,26.5
2010,Ukraine,Uganda,28.6
2010,Ukraine,Venezuela,10.8
2010,United Arab Emirates,Bahrain,14.8
2010,United Arab Emirates,Lebanon,24.0
2010,United Kingdom,Afghanistan,5.8
2010,United Kingdom,Algeria,47.0
2010,United Kingdom,Bangladesh,23.2
2010,United Kingdom,Canada,11.0
2010,United Kingdom,China,70.0
2010,United Kingdom,Denmark,12.5
2010,United Kingdom,Greece,53.0
2010,United Kingdom,India,120.0
2010,United Kingdom,Japan,32.5
2010,United Kingdom,Jordan,0.96
2010,United Kingdom,Kuwait,3.0
2010,United Kingdom,Malaysia,7.75
2010,United Kingdom,Saudi Arabia,555.0
2010,United Kingdom,South Africa,4.41
2010,United Kingdom,Turkiye,12.6
2010,United Kingdom,United States,187.0
2010,United States,Afghanistan,227.5
2010,United States,Algeria,11.4
2010,United States,Argentina,3.1
2010,United States,Australia,1420.54
2010,United States,Bahrain,68.0
2010,United States,Belgium,0.85
2010,United States,Botswana,1.0
2010,United States,Brazil,16.0
2010,United States,Cameroon,10.0
2010,United States,Canada,209.6
2010,United States,Chile,132.3
2010,United States,Colombia,61.86
2010,United States,Czechia,1.5
2010,United States,Ecuador,9.81
2010,United States,Egypt,248.65
2010,United States,El Salvador,1.56
2010,United States,Finland,10.1
2010,United States,France,53.8
2010,United States,Germany,250.4
2010,United States,Greece,150.77
2010,United States,Hungary,18.19
2010,United States,India,54.0
2010,United States,Iraq,385.87
2010,United States,Israel,47.0
2010,United States,Italy,26.0
2010,United States,Jamaica,0.7
2010,United States,Japan,610.34
2010,United States,Jordan,3.0
2010,United States,Kuwait,37.0
2010,United States,Latvia,14.2
2010,United States,Lebanon,10.2
2010,United States,Malaysia,10.84
2010,United States,Mexico,24.84
2010,United States,Morocco,35.4
2010,United States,Netherlands,35.2
2010,United States,Norway,90.8
2010,United States,Oman,3.0
2010,United States,Pakistan,1034.2
2010,United States,Peru,4.8
2010,United States,Poland,41.28
2010,United States,Portugal,87.65
2010,United States,Romania,61.2
2010,United States,Saudi Arabia,361.42
2010,United States,Singapore,675.84
2010,United States,South Africa,13.2
2010,United States,South Korea,1234.95
2010,United States,Spain,7.0
2010,United States,Switzerland,25.06
2010,United States,Taiwan,35.16
2010,United States,Tunisia,6.92
2010,United States,Turkiye,2.7
2010,United States,United Arab Emirates,157.25
2010,United States,United Kingdom,306.74
2010,United States,unknown recipient(s),3.2
2010,Uzbekistan,India,209.0
2010,unknown supplier(s),Canada,21.75
2010,unknown supplier(s),Equatorial Guinea,2.9
2010,unknown supplier(s),Guinea,4.0
2010,unknown supplier(s),Hamas (Palestine)*,1.2
2010,unknown supplier(s),South Sudan,1.52
2015,Australia,Indonesia,36.96
2015,Australia,Jamaica,2.1
2015,Australia,New Zealand,3.6
2015,Australia,Philippines,6.4
2015,Australia,United States,30.0
2015,Austria,Montenegro,1.28
2015,Austria,OSCE**,0.6
2015,Austria,Saudi Arabia,3.5
2015,Austria,Venezuela,4.55
2015,Bahamas,Denmark,0.24
2015,Belarus,Angola,9.68
2015,Belarus,House of Representatives (Libya)*,14.4
2015,Belarus,Iraq,13.8
2015,Belarus,Myanmar,6.0
2015,Belarus,Sudan,38.22
2015,Belarus,Viet Nam,60.0
2015,Belgium,Austria,0.98
2015,Belgium,Bahrain,2.4
2015,Belgium,Indonesia,5.0
2015,Belgium,Philippines,3.96
2015,Brazil,Indonesia,48.0
2015,Brazil,Pakistan,5.0
2015,Bulgaria,Angola,9.91
2015,Bulgaria,DR Congo,1.2
2015,Bulgaria,Iraq,56.3
2015,Bulgaria,Nigeria,2.6
2015,Bulgaria,Saudi Arabia,8.0
2015,Bulgaria,Senegal,2.4
2015,Bulgaria,Uganda,1.0
2015,Canada,Egypt,6.0
2015,Canada,Germany,28.0
2015,Canada,India,49.0
2015,Canada,Indonesia,5.0
2015,Canada,Mexico,10.5
2015,Canada,New Zealand,2.0
2015,Canada,Nigeria,2.8
2015,Canada,Oman,3.0
2015,Canada,Pakistan,20.0
2015,Canada,Peru,4.5
2015,Canada,Philippines,4.5
2015,Canada,Poland,1.4
2015,Canada,Qatar,5.0
2015,Canada,Saudi Arabia,121.12
2015,Canada,Ukraine,4.96
2015,Canada,United Arab Emirates,12.0
2015,Canada,United States,12.0
2015,Canada,Uzbekistan,3.0
2015,Canada,Viet Nam,3.0
2015,China,Algeria,242.75
2015,China,Bangladesh,449.1
2015,China,DR Congo,1.5
2015,China,Djibouti,3.9
2015,China,Ghana,13.0
2015,China,Indonesia,31.6
2015,China,Iran,7.25
2015,China,Iraq,43.0
2015,China,Kenya,9.75
2015,China,Laos,0.96
2015,China,Myanmar,191.85
2015,China,Nigeria,28.0
2015,China,Pakistan,558.95
2015,China,Peru,16.2
2015,China,Saudi Arabia,35.0
2015,China,Sierra Leone,0.9
2015,China,Sudan,43.5
2015,China,Tanzania,20.0
2015,China,Thailand,0.56
2015,China,Trinidad and Tobago,16.0
2015,China,United Arab Emirates,15.0
2015,China,Venezuela,112.6
2015,Czechia,Bangladesh,7.8
2015,Czechia,India,0.09
2015,Czechia,Iraq,86.12
2015,Czechia,Mexico,0.34
2015,Czechia,Nigeria,27.64
2015,Czechia,Russia,13.0
2015,Czechia,United States,4.0
2015,Czechia,Viet Nam,12.0
